pitchfork_id,album,album_id,artist,artist_id
0,the american negro,1b3K1rvUIaDmRP2AsLahXw,adrian younge,4aMeIY7MkJoZg7O91cmDDd
2,metal bird,6nveKu6cySmXYcNvdqOg0E,eve adams,1VX1sRrfeZCz2lpefE8gFo
3,the truth hurts,2bY51cinHBlscXIoLUsDYa,drakeo the ruler,0p4ViyfJUTW0IT4SCBLexf
5,fresh bread,3iVOk8jehk1yzUvfA9iHvC,sam gendel,3luuQQRuSBuDNnrkYvatnk
6,yol,0LW8s9DXP6eu1l3Ry32gQ5,altin gun,37PL04N8kBWWW69jdrMMWT
7,k.g.,6uuQKwM3fRETiscHqlnxuo,king gizzard & the lizard wizard,6XYvaoDGE0VmRt83Jss9Sn
9,cheetah bend,1gr8k1Sxe6umDlEMNgTGuI,jimmy edgar,3qIRQKST5KCIIKWgmPTY2M
10,polydans,4jsQ9yGCEyEjjQzcsICK2U,roosevelt,4AQrqVz6BYwy29iMxcGtx7
11,carnage,6xWNh0mUOdEg77U1f6oojz,nick cave||warren ellis,"1RM5gp0RFfjpJhCYFPB30p,0A8tch4LePxVn1Cn60wGXu"
12,the shadow i remember,2XB3HRzRuNWvBeSNTg53JP,cloud nothings,6rnbB5fuUuCSsspvFsxIpT
13,music life,6JYqFsiEeSjwkf9dAzdxFx,mia doi todd,1r3efMZ0kcejkPKP8oQZzv
14,tidibabide / turn,5yRtOlKR2qP6Uz4AfNYSxp,kizis,5C6iuXnmvXK7NC6MtRbSpP
15,aai,1XGRGQ4erR8jCz2oQn6xfl,mouse on mars,4ZgIWfyg9BkcqnJJ2xVR3f
16,in ferneaux,1VfwwHhikuBo8ZBQMpXvOU,blanck mass,73LvjicByRK5LazcQYZMAY
17,harlecore,4axEKjoWXw9lTXvLPUR3HZ,danny l harle,1PNvaesh1mkKZucGhBuqgD
18,100 miles and walk'in,7yPCVDhEg70la7vUaMcKKa,rx papi,56gMovAlFdnmrDk2BcfUlJ
